        ,Table 5. Gender Inequality Index   ,                       ,,    ,,                                  ,,                                     , ,                            , ,                                                 , ,         , ,                               ,,    ,
        ,                                   ,                       ,,    ,,                                  ,,                                     , ,                            , ,                                                 , ,         , ,                               ,,    ,
        ,                                   ,                       ,,    ,,SDG3.1                            ,,SDG3.7                               , ,SDG5.5                      , ,SDG4.6                                           , ,         , ,                               ,,    ,
        ,                                   ,Gender Inequality Index,,    ,,Maternal mortality ratio          ,,Adolescent birth rate                , ,Share of seats in parliament, ,Population with at least some secondary education, ,         , ,Labour force participation rate,,    ,a
        ,                                   ,Value                  ,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)", ,(% held by women)           , ,(% ages 25 and older)                            , ,         , ,(% ages 15 and older)          ,,    ,
HDI rank,Country                            ,                       ,,    ,,                                  ,,                                     , ,                            , ,Female                                           , ,Male     , ,Female                         ,,Male,
        ,                                   ,2018                   ,,2018,,2015                              ,,2015-2020                            ,b,2018                        , ,2010–2018                                        ,c,2010–2018,c,2018                           ,,2018,
        ,VERY HIGH HUMAN DEVELOPMENT        ,                       ,,    ,,                                  ,,                                     , ,                            , ,                                                 , ,         , ,                               ,,    ,
1       ,Norway                             ,0.044                  ,,5   ,,5                                 ,,5.1                                  , ,41.4                        , ,96.1                                             , ,94.8     , ,60.2                           ,,66.7,
2       ,Switzerland                        ,0.037                  ,,1   ,,5                                 ,,2.8                                  , ,29.3                        , ,96.4                                             , ,97.2     , ,62.6                           ,,74.1,
3       ,Ireland                            ,0.093                  ,,22  ,,8                                 ,,7.5                                  , ,24.3                        , ,90.2                                             ,d,86.3     ,d,55.1                           ,,68.1,
4       ,Germany                            ,0.084                  ,,19  ,,6                                 ,,8.1                                  , ,31.5                        , ,96.0                                             , ,96.6     , ,55.3                           ,,66.2,
4       ,"Hong Kong, China (SAR)"           ,..                     ,,..  ,,..                                ,,2.7                                  , ,..                          , ,76.6                                             , ,82.9     , ,54.1                           ,,67.8,
6       ,Australia                          ,0.103                  ,,25  ,,6                                 ,,11.7                                 , ,32.7                        , ,90.0                                             , ,90.7     , ,59.7                           ,,70.5,
